ref_id,report_text,date_case,food,hazard,origin_country,destination_country,hazard_category,year,month
2015.0733,"Listeria monocytogenes (<10 CFU/g) in raw milk cheese from France, intended for Netherlands",2015-06-11,raw milk cheese,Listeria monocytogenes,France,Netherlands,Microbiological contamination,2015,6
2018.0046,"high content of caffeine (1500 and 1600 mg/100ml) in energy drink with caffeine and guarana from Switzerland, intended for Austria",2018-01-05,energy drink with caffeine and guarana,high content of caffeine,Switzerland,Austria,Other,2018,1
2019.3475,"Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid (> 320 µg/kg - ppb) in live mussels (Mytilus galloprovincialis) from Italy, intended for Slovakia",2019-10-04,live mussels (mytilus galloprovincialis),Diarrhoeic Shellfish Poisoning (DSP) toxins - okadaic acid,Italy,Slovakia,Other,2019,10
2016.0249,"plastic fragments (plastic brush hairs) in milk bread rolls from France, intended for Germany",2016-03-04,milk bread rolls,plastic fragments,France,Germany,Foreign bodies,2016,3
2010.0906,"Listeria monocytogenes in rindless cooked ham from France, intended for Singapore",2010-07-07,rindless cooked ham,Listeria monocytogenes,France,Singapore,Microbiological contamination,2010,7
2015.0849,"unauthorised use of colour E 127 - erythrosine in rice flour balls from the Philippines, via the Netherlands, intended for Sweden",2015-07-01,rice flour balls,unauthorised use of colour E 127 - erythrosine,Philippines,Sweden,Food additives,2015,7
2017.151,aflatoxins (Tot. = 24 µg/kg - ppb) in organic dried figs from Spain,2017-09-25,organic dried figs,aflatoxins,Spain,Spain,Mycotoxins,2017,9
2019.1628,"Listeria monocytogenes (presence in 1 out of 5 samples /25g) in chilled terrine from France, intended for Gabon",2019-05-02,chilled terrine,Listeria monocytogenes,France,Gabon,Microbiological contamination,2019,5
2017.0864,"mercury (1.85 mg/kg - ppm) in frozen blue shark from Spain, intended for Italy",2017-06-16,frozen blue shark,mercury,Spain,Italy,Heavy metals,2017,6
2012.1232,"incorrect labelling (carton labels and product units differed by two years) on wine gum candy from Spain, intended for Denmark",2012-08-27,wine gum candy,incorrect labelling,Spain,Denmark,Labelling / regulatory non-compliance,2012,8
2015.033,"presence of ruminant DNA in complete feed for trout from Italy, intended for Armenia",2015-03-19,complete feed for trout,presence of ruminant DNA,Italy,Armenia,Other,2015,3
2010.1319,"Listeria monocytogenes (355 CFU/g) in raw spiced salmon from Poland, via Denmark",2010-09-29,raw spiced salmon,Listeria monocytogenes,Poland,Denmark,Microbiological contamination,2010,9
2012.0748,"migration of primary aromatic amines (12.726; 14.119; 12.450 mg/kg - ppm) from soup ladle from China, intended for United Kingdom",2012-05-31,soup ladle,migration of primary aromatic amines,China,United Kingdom,Packaging / chemical migration,2012,5
2013.0294,"residue level above MRL for trimethoprim (62 µg/kg - ppb) in pork meat (half carcasses) from Denmark, intended for Germany",2013-03-05,pork meat (half carcasses),residue level above MRL for trimethoprim,Denmark,Germany,Pesticide residues,2013,3
2019.2981,"incorrect expiry date of chilled smoked salmon from France, intended for Côte d'Ivoire",2019-08-19,chilled smoked salmon,incorrect expiry date,France,Côte d'Ivoire,Other,2019,8
2012.0241,"suspicion of fraud in relation to horse carcasses from Hungary, intended for Italy",2012-02-15,horse carcasses,suspicion of fraud,Hungary,Italy,Labelling / regulatory non-compliance,2012,2
2018.3454,"foodborne outbreak (Salmonella Concord) caused by tahini from Israel, intended for Germany",2018-11-28,tahini,foodborne outbreak,Israel,Germany,Microbiological contamination,2018,11
2011.1809,"malathion (0.24 mg/kg - ppm) in sunflower seeds from Ukraine, intended for Lithuania",2011-12-09,sunflower seeds,malathion,Ukraine,Lithuania,Other,2011,12
2016.0019,"aflatoxins (B1 = 129; Tot. = 160 µg/kg - ppb) in groundnuts from Madagascar, intended for Netherlands",2016-01-08,groundnuts,aflatoxins,Madagascar,Netherlands,Mycotoxins,2016,1
2010.0794,"migration of formaldehyde (37 mg/dm²) from soup spoon from China, via Hong Kong, via the Netherlands and via Poland, intended for Germany",2010-06-17,soup spoon,migration of formaldehyde,China,Germany,Packaging / chemical migration,2010,6
2017.1081,"residue level above MRL for sulfadimethoxine (251.5 µg/kg - ppb) in chilled pork from Italy, intended for San Marino",2017-07-24,chilled pork,residue level above MRL for sulfadimethoxine,Italy,San Marino,Pesticide residues,2017,7
2009.0122,"unauthorised use of colour E 127 - erythrosine in food supplements from the United States, via Poland, intended for Spain",2009-02-03,food supplements,unauthorised use of colour E 127 - erythrosine,United States,Spain,Food additives,2009,2
2014.0799,"dioxins (2.92; 3.19 pg WHO TEQ/g) in corn from Ukraine, intended for Italy",2014-06-12,corn,dioxins,Ukraine,Italy,Other,2014,6
2018.3553,migration of epoxidised soybean oil (ESBO) (110 mg/kg - ppm) from lids of glass jars containing grilled mushrooms from Italy,2018-12-06,lids of glass jars containing grilled mushrooms,migration of epoxidised soybean oil (ESBO),Italy,Italy,Packaging / chemical migration,2018,12
2011.0619,"Listeria monocytogenes in various types of cheese from Belgium, intended for Germany",2011-05-11,various types of cheese,Listeria monocytogenes,Belgium,Germany,Microbiological contamination,2011,5
2014.0684,"outer coating coming off from plastic spoon from China, intended for Italy",2014-05-19,plastic spoon,outer coating coming off,China,Italy,Heavy metals,2014,5
2010.1077,"high count of Escherichia coli (between <10 and >1500000 CFU/g) in mozzarella from Italy, intended for Belgium",2010-08-05,mozzarella,high count of Escherichia coli,Italy,Belgium,Microbiological contamination,2010,8
2014.0619,"migration of primary aromatic amines (1020 <--> 1150 µg/kg - ppb) from plastic potato masher from China, intended for United Kingdom",2014-05-06,plastic potato masher,migration of primary aromatic amines,China,United Kingdom,Packaging / chemical migration,2014,5
2011.0727,"adulteration (absence of choline chloride) of feed additive with normally 60% of Choline chloride from China, intended for Nigeria",2011-06-01,feed additive with normally 60% of choline chloride,adulteration,China,Nigeria,Other,2011,6
2010.0347,"migration of nickel (4.4 mg/l) from barbeque cookwear from China, intended for Ukraine",2010-03-18,barbeque cookwear,migration of nickel,China,Ukraine,Packaging / chemical migration,2010,3
2019.1622,"insufficient labelling (wheat malt not mentioned on the label) of beer from the United States, intended for Switzerland",2019-04-30,beer,insufficient labelling,United States,Switzerland,Labelling / regulatory non-compliance,2019,4
2019.3713,"sesame undeclared on chocolate candies from France, intended for Norway",2019-10-24,chocolate candies,sesame undeclared,France,Norway,Other,2019,10
2012.0672,"unauthorised food additive formic acid (1998.35 mg/kg - ppm) in white sour cabbage from Poland, intended for Slovakia",2012-05-21,white sour cabbage,unauthorised food additive formic acid,Poland,Slovakia,Food additives,2012,5
2011.005,"traces of milk (casein: > 67.5 mg/kg - ppm) in dairy-free chocolate ingredient from Belgium, intended for Ireland",2011-01-13,dairy-free chocolate ingredient,traces of milk,Belgium,Ireland,Allergens,2011,1
2019.1411,"Salmonella enterica ser. Typhimurium monophasic (1 ,4, [5], 12:i:-) (presence /25g) in chilled chicken meat from Belgium, intended for Germany",2019-04-12,chilled chicken meat,"Salmonella enterica ser. Typhimurium monophasic (1 ,4, [5], 12:i:-)",Belgium,Germany,Microbiological contamination,2019,4
2010.0372,"norovirus (positive, genogroup 1) in live oysters from Ireland, via France, intended for Belgium",2010-03-23,live oysters,norovirus,Ireland,Belgium,Microbiological contamination,2010,3
2012.0438,Listeria monocytogenes (770 CFU/g) in fermented pork dumplings from France,2012-03-21,fermented pork dumplings,Listeria monocytogenes,France,France,Microbiological contamination,2012,3
2013.0077,"norovirus in chilled live oysters (Crassostrea gigas) from France, intended for Belgium",2013-01-22,chilled live oysters (crassostrea gigas),norovirus,France,Belgium,Microbiological contamination,2013,1
2018.3739,"Salmonella (presence /25g) in organic sunflower cake from Italy, intended for Austria",2018-12-20,organic sunflower cake,Salmonella,Italy,Austria,Microbiological contamination,2018,12
2011.1053,mineral oil (1024 mg/kg - ppm) in unsalted butter from France,2011-08-04,unsalted butter,mineral oil,France,France,Other,2011,8
2017.185,"high count of Escherichia coli (930 MPN/100g) in live mussels from France, intended for Austria",2017-11-06,live mussels,high count of Escherichia coli,France,Austria,Microbiological contamination,2017,11
2017.054,"Listeria monocytogenes (240 CFU/g) in chilled smoked halibut from France, intended for Luxembourg",2017-04-27,chilled smoked halibut,Listeria monocytogenes,France,Luxembourg,Microbiological contamination,2017,4
2015.0162,"high content of vitamin A (50 mg/capsule) in food supplement from the United States, via Sweden, intended for Denmark",2015-02-13,food supplement,high content of vitamin A,United States,Denmark,Other,2015,2
2017.0657,"too high intake of zinc (32 mg/day) from food supplement from Canada, via the Netherlands, intended for Spain",2017-05-16,food supplement,too high intake of zinc,Canada,Spain,Other,2017,5
2010.0764,processed animal protein (spray-dried plasma) in complementary feed milk replacer for calves from France,2010-06-11,complementary feed milk replacer for calves,processed animal protein,France,France,Other,2010,6
2015.1054,"too high content of E 200 - sorbic acid (530 mg/l) in energy drink from the Netherlands, intended for Austria",2015-08-13,energy drink,too high content of E 200 - sorbic acid,Netherlands,Austria,Other,2015,8
2019.0778,mustard undeclared on teriyaki houmous chips from the United Kingdom,2019-02-28,teriyaki houmous chips,mustard undeclared,United Kingdom,United Kingdom,Other,2019,2
2013.1449,"suffocation risk as a result of the consumption of whistles candy and lipsticks candy from Belgium, intended for Germany",2013-11-04,whistles candy and lipsticks candy,suffocation risk as a result of the consumption,Belgium,Germany,Other,2013,11
2016.0139,"prohibited ingredient Ephedra in food supplement from the United States, via the Netherlands, intended for Austria",2016-02-09,food supplement,prohibited ingredient Ephedra,United States,Austria,Other,2016,2
2015.1075,"Salmonella (presence /25g) in moulded chocolate wafers from the Netherlands, intended for San Marino",2015-08-18,moulded chocolate wafers,Salmonella,Netherlands,San Marino,Microbiological contamination,2015,8
2012.1633,"dioxins (3.4 ng/kg - ppt) in fish meal from Denmark, intended for Czech Republic",2012-11-22,fish meal,dioxins,Denmark,Czech Republic,Other,2012,11
2011.1836,"too high level of overall migration (132; 133; 153; 161 mg/dm²) from coloured plastic knives  (green, blue, pink and orange) from China, intended for Italy",2011-12-13,"coloured plastic knives  (green, blue, pink and orange)",too high level of overall migration,China,Italy,Other,2011,12
2019.4162,benzo(a)pyrene (6.64 µg/kg - ppb) in canned sprats in oil from Latvia,2019-11-26,canned sprats in oil,benzo(a)pyrene,Latvia,Latvia,Other,2019,11
2010.1324,"migration of epoxidised soybean oil (ESBO) (199.2 mg/kg - ppm) from lid of glass jars containing sesame paste from Turkey, intended for Germany",2010-09-30,lid of glass jars containing sesame paste,migration of epoxidised soybean oil (ESBO),Turkey,Germany,Packaging / chemical migration,2010,9
2012.1034,"Listeria monocytogenes (presence /25g) in soybean sprouts from the Netherlands, intended for Belgium",2012-07-20,soybean sprouts,Listeria monocytogenes,Netherlands,Belgium,Microbiological contamination,2012,7
2018.2501,"enterotoxin producing Bacillus cereus (72000 CFU/g) in cassava flour from Nigeria, via the Netherlands, intended for Germany",2018-09-05,cassava flour,enterotoxin producing Bacillus cereus,Nigeria,Germany,Microbiological contamination,2018,9
2009.1276,"cadmium (0.4 mg/kg - ppm) in dried mushrooms (Lentinus edodes) from China, intended for Italy",2009-10-05,dried mushrooms (lentinus edodes),cadmium,China,Italy,Heavy metals,2009,10
2019.026,"metal pieces (between 2 and 10 mm in length) in sugar from Belize, intended for Romania",2019-01-23,sugar,metal pieces,Belize,Romania,Other,2019,1
2019.0271,"bulging packaging (fermentation) of bottles containing lemongrass and coconut sauce from the Netherlands, intended for Denmark",2019-01-24,lemongrass and coconut sauce,bulging packaging,Netherlands,Denmark,Other,2019,1
2015.0897,"plastic fragments in tofu basilico from Germany, intended for Sweden",2015-07-10,tofu basilico,plastic fragments,Germany,Sweden,Foreign bodies,2015,7
2015.1041,"too high content of sulphite (858 mg/kg - ppm) in frozen  headless shell-on shrimps (Metapenaeus affinis) from India, via Denmark, intended for Italy",2015-08-12,frozen  headless shell-on shrimps (metapenaeus affinis),too high content of sulphite,India,Italy,Food additives,2015,8
2010.074,Listeria monocytogenes (presence /25g) in gouda cheese from Poland,2010-06-09,gouda cheese,Listeria monocytogenes,Poland,Poland,Microbiological contamination,2010,6
2016.1609,"migration of bis(2-ethylhexyl) terephthalate (DOTP) (215 mg/kg - ppm) from plastic hose from Italy, intended for Spain",2016-11-23,plastic hose,migration of bis(2-ethylhexyl) terephthalate (DOTP),Italy,Spain,Packaging / chemical migration,2016,11
2017.2118,"mercury (4.503 mg/kg - ppm) in frozen shortfin mako shark (Isurus oxyrinchus) from Spain, intended for Italy",2017-12-07,frozen shortfin mako shark (isurus oxyrinchus),mercury,Spain,Italy,Heavy metals,2017,12
2017.1593,"traces of milk (4.03 mg/kg - ppm) in croissant with strawberry filling from Bulgaria, intended for Croatia",2017-10-04,croissant with strawberry filling,traces of milk,Bulgaria,Croatia,Allergens,2017,10
2017.0527,"mercury (1.4 mg/kg - ppm) in chilled swordfish loins (Xiphias gladius) from Spain, intended for Italy",2017-04-26,chilled swordfish loins (xiphias gladius),mercury,Spain,Italy,Heavy metals,2017,4
2017.2092,"unauthorised novel food ingredient tongkat ali (Eurycoma longifolia) in food supplement from the United States, intended for Hungary",2017-12-04,food supplement,unauthorised novel food ingredient tongkat ali (Eurycoma longifolia),United States,Hungary,Labelling / regulatory non-compliance,2017,12
2018.1999,"consumer recall of frozen corn from Hungary in relation to a multi-country foodborne outbreak, intended for Angola",2018-07-16,frozen corn,foodborne outbreak,Hungary,Angola,Microbiological contamination,2018,7
2012.0992,"metal particles (aluminium 7 mm x 0.5 mm) in sugar from Germany, intended for Netherlands",2012-07-13,sugar,metal particles,Germany,Netherlands,Other,2012,7
2010.0433,"Salmonella (presence /25g) in precooked frozen tuna from Côte d'Ivoire, intended for Italy",2010-04-07,precooked frozen tuna,Salmonella,Côte d'Ivoire,Italy,Microbiological contamination,2010,4
2011.1168,"lead (5 mg/kg - ppm) in silica and zinc capsules from Germany, intended for Austria",2011-08-26,silica and zinc capsules,lead,Germany,Austria,Heavy metals,2011,8
2019.3393,"pyrrolizidine alkaloids (22167.4 µg/kg - ppb) in oregano from Turkey, intended for Belgium",2019-09-26,oregano,pyrrolizidine alkaloids,Turkey,Belgium,Other,2019,9
2009.1259,"too high content of sulphite (804 mg/kg - ppm) in dried sweet papaya from the Philippines, intended for Italy",2009-09-29,dried sweet papaya,too high content of sulphite,Philippines,Italy,Food additives,2009,9
2011.1479,"botulinum toxin (presence) in organic olives with almonds in glass jars from Italy, intended for Armenia",2011-10-21,organic olives with almonds in glass jars,botulinum toxin,Italy,Armenia,Other,2011,10
2016.1685,"Salmonella enterica ser. Enteritidis (in 2 out of 5 samples /25g) in chilled chicken breast fillets from Poland, intended for Germany",2016-12-05,chilled chicken breast fillets,Salmonella enterica ser. Enteritidis,Poland,Germany,Microbiological contamination,2016,12
2011.025,"unauthorised substance carbendazim (1.8 mg/kg - ppm) in taro (Colocasia esculenta) from Brazil, intended for United Kingdom",2011-02-24,taro (colocasia esculenta),unauthorised substance carbendazim,Brazil,United Kingdom,Labelling / regulatory non-compliance,2011,2
2015.1289,"unauthorised substance isocarbophos (0.051 mg/kg - ppm) in fresh pomelos from China, via the Netherlands, intended for Italy",2015-10-14,fresh pomelos,unauthorised substance isocarbophos,China,Italy,Labelling / regulatory non-compliance,2015,10
2012.1774,"Listeria monocytogenes (190 - 4500 CFU/g) in different cheeses (goat, sheep and cow milk) from France, intended for Czech Republic",2012-12-28,"different cheeses (goat, sheep and cow milk)",Listeria monocytogenes,France,Czech Republic,Microbiological contamination,2012,12
2013.0524,"foodborne outbreak suspected to be caused by mussels from Spain, intended for Monaco",2013-04-11,mussels,foodborne outbreak suspected,Spain,Monaco,Microbiological contamination,2013,4
2018.0554,"canned coffee from Italy with defective packaging (valve missing), intended for Finland",2018-03-02,canned coffee,defective packaging,Italy,Finland,Other,2018,3
2015.1558,"Listeria monocytogenes (presence /25g) in chilled smoked sliced salmon from Denmark, intended for Italy",2015-12-09,chilled smoked sliced salmon,Listeria monocytogenes,Denmark,Italy,Microbiological contamination,2015,12
2019.2547,"polycyclic aromatic hydrocarbons (sum of PAH4: 22.6 µg/kg - ppb) in organic hemp oil from Germany, intended for Belgium",2019-07-12,organic hemp oil,polycyclic aromatic hydrocarbons,Germany,Belgium,Other,2019,7
2014.118,"shigatoxin-producing Escherichia coli (O-26H-11 stx+ eae+) in raw milk cheese from France, intended for Lithuania",2014-08-22,raw milk cheese,shigatoxin-producing Escherichia coli,France,Lithuania,Microbiological contamination,2014,8
2011.1479,"botulinum toxin (presence) in organic olives with almonds in glass jars from Italy, intended for Brazil",2011-10-21,organic olives with almonds in glass jars,botulinum toxin,Italy,Brazil,Other,2011,10
2014.0136,"dioxins (24.1 ng/kg - ppt) in fish oil from Lithuania, intended for Italy",2014-01-31,fish oil,dioxins,Lithuania,Italy,Other,2014,1
2015.0152,"traces of almond (270 mg/kg - ppm) in fajita meal from Sweden, intended for Lithuania",2015-02-12,fajita meal,traces of almond,Sweden,Lithuania,Allergens,2015,2
2009.1667,"unauthorised genetically modified (FP 967) brown linseed from China, via Germany, intended for France",2009-12-02,brown linseed,unauthorised genetically modified,China,France,GMO / unauthorised composition,2009,12
2009.1567,"Staphylococcal enterotoxin (presence in 5 samples /25g) in raw milk cheese from France, intended for Germany",2009-11-13,raw milk cheese,Staphylococcal enterotoxin,France,Germany,Other,2009,11
2016.033,"norovirus (presence /25g) in frozen organic raspberries from Bulgaria, via Poland, intended for Luxembourg",2016-03-21,frozen organic raspberries,norovirus,Bulgaria,Luxembourg,Microbiological contamination,2016,3
2017.0757,"jelly cake from Spain with improper packaging (sharp plastic pieces to fix the fruit gum), intended for Poland",2017-05-31,jelly cake,improper packaging,Spain,Poland,Other,2017,5
2015.1285,"Salmonella (presence /25g) in organic moringa leaf in powder and capsules from India, intended for Austria",2015-10-13,organic moringa leaf in powder and capsules,Salmonella,India,Austria,Microbiological contamination,2015,10
2019.0823,"parasitic infestation with Anisakis (live) of chilled monkfish (Lophius piscatorius) from France, intended for Italy",2019-03-01,chilled monkfish (lophius piscatorius),parasitic infestation with Anisakis,France,Italy,Microbiological contamination,2019,3
2010.0518,"metal fragments in cheese from France, intended for Andorra",2010-04-27,cheese,metal fragments,France,Andorra,Foreign bodies,2010,4
2009.1515,"unauthorised genetically modified (FP 967) organic brown linseed from Canada, via Germany, intended for France",2009-11-05,organic brown linseed,unauthorised genetically modified,Canada,France,GMO / unauthorised composition,2009,11
2012.1074,"glass fragments in colostrum from Germany, intended for Portugal",2012-07-26,colostrum,glass fragments,Germany,Portugal,Foreign bodies,2012,7
2010.0336,"unauthorised genetically modified (presumably KeFeng6) rice noodles from China, intended for Germany",2010-03-16,rice noodles,unauthorised genetically modified,China,Germany,GMO / unauthorised composition,2010,3
2019.347,"Salmonella (present /25g) in frozen hot chicken wings from the Netherlands, intended for France",2019-10-03,frozen hot chicken wings,Salmonella,Netherlands,France,Microbiological contamination,2019,10
2018.2255,high content of lead (32.6 mg/kg - ppm) in clay from France,2018-08-07,clay,high content of lead,France,France,Heavy metals,2018,8
2010.0328,"sweet microwave popcorn from France infested with insects (Sitophilus oryzae), intended for Jersey",2010-03-15,sweet microwave popcorn,infested with insects,France,Jersey,Other,2010,3
2010.1085,"unauthorised genetically modified (BT63) rice vermicelli from China, via the Netherlands, intended for Germany",2010-08-06,rice vermicelli,unauthorised genetically modified,China,Germany,GMO / unauthorised composition,2010,8
2009.1661,"cadmium (0.625 mg/kg - ppm) in rice from Italy, intended for Germany",2009-12-02,rice,cadmium,Italy,Germany,Heavy metals,2009,12
2013.125,"unauthorised substance synephrine in food supplement containing caffeine from Hungary, intended for Poland",2013-09-16,food supplement containing caffeine,unauthorised substance synephrine,Hungary,Poland,Labelling / regulatory non-compliance,2013,9
2016.0923,"metal fragments (up to 5 cm) in salt from the Netherlands, intended for United Kingdom",2016-07-12,salt,metal fragments,Netherlands,United Kingdom,Foreign bodies,2016,7
2018.0926,"Salmonella enterica ser. Infantis (present /25g) in dog chews from the Netherlands, intended for Austria",2018-04-06,dog chews,Salmonella enterica ser. Infantis,Netherlands,Austria,Microbiological contamination,2018,4
2009.0866,"Escherichia coli O157 (presence in 2 out of 5 samples) in frozen cooked minced beef from Brazil, via the Netherlands, intended for Germany",2009-07-03,frozen cooked minced beef,Escherichia coli O157,Brazil,Germany,Microbiological contamination,2009,7
2016.0207,"plastic fragments in candy bars from the Netherlands, intended for Hong Kong",2016-02-23,candy bars,plastic fragments,Netherlands,Hong Kong,Foreign bodies,2016,2
2012.1759,"material abrading (metal fragments) from juice extractor from China, intended for Poland",2012-12-20,juice extractor,material abrading,China,Poland,Other,2012,12
2018.2142,"tomato passata from Italy infested with moulds, intended for Albania",2018-07-27,tomato passata,infested with moulds,Italy,Albania,Microbiological contamination,2018,7
2013.0046,"residue level above MRL for sulfadiazine (360 µg/kg - ppb) in pork meat from Belgium, intended for France",2013-01-15,pork meat,residue level above MRL for sulfadiazine,Belgium,France,Pesticide residues,2013,1
2017.0899,"Salmonella enterica ser. Enteritidis (presence /25g) in frozen whole chicken from Poland, intended for Estonia",2017-06-23,frozen whole chicken,Salmonella enterica ser. Enteritidis,Poland,Estonia,Microbiological contamination,2017,6
2019.211,"traces of hazelnut (> 20; 18 mg/kg - ppm) in energy cereal bars from France, intended for Spain",2019-06-07,energy cereal bars,traces of hazelnut,France,Spain,Allergens,2019,6
2017.0871,"mercury (1.6 mg/kg - ppm) in frozen swordfish (Xiphias gladius) from Vietnam, intended for France",2017-06-19,frozen swordfish (xiphias gladius),mercury,Vietnam,France,Heavy metals,2017,6
2015.0221,"prohibited substance nitrofuran (metabolite) furazolidone (AOZ) (2.26 µg/kg - ppb) in frozen rabbit meat from China, via Belgium and via Germany",2015-02-25,frozen rabbit meat,prohibited substance nitrofuran (metabolite) furazolidone (AOZ),China,Germany,Other,2015,2
2016.0441,"shigatoxin-producing Escherichia coli (stx2+ O22:H8 /25g) in frozen beef from Uruguay, via Belgium, intended for Hong Kong",2016-04-13,frozen beef,shigatoxin-producing Escherichia coli,Uruguay,Hong Kong,Microbiological contamination,2016,4
2011.1504,"chorizo sausages from Spain with defective packaging (infestation with moulds), intended for Dominican Republic",2011-10-26,chorizo sausages,defective packaging,Spain,Dominican Republic,Other,2011,10
2010.1313,Diarrhoeic Shellfish Poisoning (DSP) toxins in mussels from Italy,2010-09-29,mussels,Diarrhoeic Shellfish Poisoning (DSP) toxins,Italy,Italy,Other,2010,9
2019.3242,"too high count of Escherichia coli (up to 16000 MPN/100g) in live clams (Chamelea gallina) from Italy, intended for Spain",2019-09-12,live clams (chamelea gallina),too high count of Escherichia coli,Italy,Spain,Microbiological contamination,2019,9
2018.0901,"glass fragments in bottled beer from Belgium, intended for Curaçao",2018-04-05,bottled beer,glass fragments,Belgium,Curaçao,Foreign bodies,2018,4
2016.0358,"high count of Escherichia coli (2100 CFU/g) in sweet basil from the United Kingdom, intended for United States",2016-03-23,sweet basil,high count of Escherichia coli,United Kingdom,United States,Microbiological contamination,2016,3
2010.1383,"parasitic infestation with Anisakis of chilled mackerel (Scomber scombrus) from France, intended for Slovenia",2010-10-13,chilled mackerel (scomber scombrus),parasitic infestation with Anisakis,France,Slovenia,Microbiological contamination,2010,10
2014.0314,"aflatoxins (B1 = 0.35 mg/kg - ppm) in maize from India, intended for Hungary",2014-03-07,maize,aflatoxins,India,Hungary,Mycotoxins,2014,3
2014.1757,"possible presence of ruminant DNA in ruminant feed supplement from Denmark, intended for Italy",2014-12-23,ruminant feed supplement,possible presence of ruminant DNA,Denmark,Italy,Other,2014,12
2018.1701,"too high intake of caffeine (up to 580 mg/day) from food for sports people from Poland, intended for Austria",2018-06-18,food for sports people,too high intake of caffeine,Poland,Austria,Other,2018,6
2019.2039,"spoilage (fermentation) of tomato and herbs pizza sauce from Sweden, intended for Denmark",2019-06-04,tomato and herbs pizza sauce,spoilage,Sweden,Denmark,Other,2019,6
2015.1075,"Salmonella (presence /25g) in moulded chocolate wafers from the Netherlands, intended for Italy",2015-08-18,moulded chocolate wafers,Salmonella,Netherlands,Italy,Microbiological contamination,2015,8
2016.175,"high content of acrylamide (1020 µg/kg - ppb) in baby biscuits from Croatia, intended for Hungary",2016-12-16,baby biscuits,high content of acrylamide,Croatia,Hungary,Other,2016,12
2014.0255,Listeria monocytogenes in mushrooms from Ireland,2014-02-24,mushrooms,Listeria monocytogenes,Ireland,Ireland,Microbiological contamination,2014,2
2010.0424,"Salmonella enterica (presence /25g) in frozen minced beef from Italy, intended for France",2010-04-02,frozen minced beef,Salmonella,Italy,France,Microbiological contamination,2010,4
2009.1569,"abnormal smell of chestnuts from China, via the Netherlands, intended for Poland",2009-11-13,chestnuts,abnormal smell,China,Poland,Other,2009,11
2017.1764,"migration of formaldehyde (58 mg/kg - ppm) from bamboo cups from China, via Germany, intended for France",2017-10-25,bamboo cups,migration of formaldehyde,China,France,Packaging / chemical migration,2017,10
2019.1317,"prohibited substance chloramphenicol (1.18 µg/kg - ppb) in skimmed milk powder from Lithuania, intended for Germany",2019-04-08,skimmed milk powder,prohibited substance chloramphenicol,Lithuania,Germany,Veterinary drug residues,2019,4
2018.2122,"migration of melamine (3.6 mg/kg - ppm) from bamboo cups from China, via the United Kingdom, intended for Lithuania",2018-07-26,bamboo cups,migration of melamine,China,Lithuania,Packaging / chemical migration,2018,7
